month,day,year,Beijing,Shanghai,Guangzhou,Shenyang,Chengdu
1,1,2015,47.4,43.04,51.53,35.43,148.79
1,2,2015,58.42,83.9,60.65,48.18,168.44
1,3,2015,205.17,97.67,115.0,58.56,149.47
1,4,2015,205.38,126.04,74.96,102.78,170.78
1,5,2015,91.77,84.35,73.33,81.51,127.81
1,6,2015,33.56,85.11,99.56,30.51,45.4
1,7,2015,68.8,39.78,52.58,38.24,66.81
1,8,2015,171.74,76.25,53.53,170.72,77.51
1,9,2015,102.28,156.04,61.89,233.94,87.71
1,10,2015,189.23,178.9,61.46,143.72,84.39
1,11,2015,34.0,195.25,59.67,100.17,124.15
1,12,2015,104.79,20.62,32.56,187.53,108.56
1,13,2015,197.04,20.03,16.97,142.49,189.61
1,14,2015,249.91,25.51,25.23,181.37,185.51
1,15,2015,370.18,82.69,51.29,178.61,219.79
1,16,2015,90.32,116.08,65.04,80.78,113.23
1,17,2015,68.84,80.07,50.92,63.25,164.79
1,18,2015,83.79,86.54,79.99,95.44,79.2
1,19,2015,49.35,89.84,73.17,80.04,121.64
1,20,2015,91.17,35.5,151.53,212.79,152.9
1,21,2015,13.91,109.52,135.73,137.43,153.99
1,22,2015,125.93,130.36,63.7,339.06,186.35
1,23,2015,245.27,116.39,72.71,216.79,207.78
1,24,2015,88.57,110.76,84.9,118.82,157.18
1,25,2015,135.94,133.62,91.97,182.9,165.94
1,26,2015,99.86,106.56,96.6,75.08,146.2
1,27,2015,20.42,51.02,81.06,37.35,143.42
1,28,2015,44.33,19.81,59.04,142.39,29.69
1,29,2015,60.51,15.89,66.9,111.21,44.2
1,30,2015,11.67,75.21,41.46,33.18,58.43
1,31,2015,39.86,35.26,42.97,132.86,39.36
2,1,2015,94.05,23.96,48.85,177.29,51.2
2,2,2015,162.56,30.94,68.08,168.04,64.84
2,3,2015,106.72,43.42,98.82,141.81,86.62
2,4,2015,9.7,179.78,58.85,85.56,82.46
2,5,2015,28.67,95.33,50.8,93.67,82.06
2,6,2015,81.43,74.14,98.89,110.14,115.87
2,7,2015,9.47,107.32,109.24,21.07,87.74
2,8,2015,29.33,47.11,71.88,31.19,89.61
2,9,2015,129.11,31.57,77.14,87.75,131.93
2,10,2015,145.96,54.97,107.04,110.85,144.38
2,11,2015,53.39,80.46,129.79,75.22,140.4
2,12,2015,35.96,167.2,122.15,38.75,137.82
2,13,2015,151.48,49.15,74.86,82.22,152.29
2,14,2015,295.03,57.0,70.76,148.02,163.44
2,15,2015,316.48,57.03,101.42,266.74,129.83
2,16,2015,122.59,115.17,69.66,180.56,64.97
2,17,2015,44.45,123.54,52.28,56.38,94.56
2,18,2015,69.36,67.41,65.82,83.77,90.46
2,19,2015,205.16,19.92,69.68,422.21,118.28
2,20,2015,143.16,16.49,41.36,62.51,53.71
2,21,2015,156.46,58.08,42.21,61.67,69.04
2,22,2015,42.98,117.68,42.0,173.88,38.29
2,23,2015,59.89,53.81,26.64,34.43,31.04
2,24,2015,178.35,44.72,35.14,84.63,41.33
2,25,2015,66.24,24.48,30.7,74.61,33.89
2,26,2015,15.11,54.25,29.46,27.5,34.57
2,27,2015,25.24,20.82,22.58,48.4,38.22
2,28,2015,111.94,16.57,24.18,89.47,26.46
3,1,2015,41.17,80.89,11.4,56.74,43.57
3,2,2015,70.69,104.07,40.04,91.42,57.14
3,3,2015,8.76,78.97,44.69,25.0,61.83
3,4,2015,26.28,22.04,15.9,28.05,49.72
3,5,2015,119.81,17.37,22.71,73.5,40.74
3,6,2015,218.8,27.03,15.72,60.97,68.19
3,7,2015,252.75,34.07,37.82,123.36,94.03
3,8,2015,123.84,27.3,109.65,65.29,70.24
3,9,2015,8.5,42.09,86.83,19.36,96.38
3,10,2015,34.48,22.88,32.85,31.24,77.21
3,11,2015,53.16,44.99,26.31,46.24,59.4
3,12,2015,82.19,69.08,17.29,39.25,86.08
3,13,2015,70.57,93.78,42.56,54.61,86.92
3,14,2015,104.55,101.53,67.58,82.53,108.97
3,15,2015,118.53,53.28,51.21,68.24,99.05
3,16,2015,225.16,31.88,42.53,96.39,96.64
3,17,2015,206.42,38.5,29.85,49.31,61.31
3,18,2015,50.54,57.24,30.67,87.06,54.21
3,19,2015,98.39,76.71,34.89,87.81,35.87
3,20,2015,48.12,62.08,33.24,123.56,37.46
3,21,2015,20.78,98.0,51.57,81.24,40.94
3,22,2015,23.07,68.29,65.03,36.49,48.17
3,23,2015,39.04,21.96,39.89,47.25,40.57
3,24,2015,89.71,13.68,15.38,124.53,32.88
3,25,2015,121.74,19.21,33.85,101.99,57.57
3,26,2015,110.89,23.55,25.22,95.23,67.18
3,27,2015,117.7,29.12,34.69,100.12,106.25
3,28,2015,60.58,74.35,45.25,110.5,121.4
3,29,2015,96.92,82.12,57.52,146.04,87.21
3,30,2015,158.71,38.28,43.22,82.82,76.99
3,31,2015,130.12,64.58,27.61,66.15,89.19
4,1,2015,56.65,56.08,25.22,55.72,70.32
4,2,2015,37.55,38.97,20.79,68.69,38.6
4,3,2015,32.25,68.97,20.08,70.4,45.25
4,4,2015,70.68,65.21,15.75,54.97,27.29
4,5,2015,58.27,54.39,21.62,60.83,20.35
4,6,2015,23.36,19.73,33.57,23.35,11.72
4,7,2015,27.97,22.27,44.31,29.26,22.55
4,8,2015,106.91,29.11,13.36,75.53,36.78
4,9,2015,175.67,26.72,29.45,80.08,35.18
4,10,2015,166.74,43.87,17.5,91.62,33.06
4,11,2015,154.65,43.18,30.89,107.65,42.79
4,12,2015,14.69,50.92,46.74,62.64,49.65
4,13,2015,32.41,43.68,59.88,79.79,71.4
4,14,2015,64.64,65.74,37.0,83.57,79.51
4,15,2015,132.42,71.1,52.64,97.61,82.64
4,16,2015,45.36,67.82,65.79,35.21,91.71
4,17,2015,93.41,32.99,50.87,67.42,78.33
4,18,2015,144.07,60.99,35.81,102.05,54.29
4,19,2015,65.72,120.49,35.74,51.08,35.35
4,20,2015,76.17,44.72,24.64,56.43,47.82
4,21,2015,61.74,39.92,21.38,86.29,33.15
4,22,2015,53.96,81.89,33.63,71.07,29.31
4,23,2015,60.64,61.83,58.04,39.8,45.26
4,24,2015,61.7,63.42,60.36,39.21,48.42
4,25,2015,89.7,73.28,117.15,71.51,55.58
4,26,2015,109.51,46.19,81.19,88.67,90.93
4,27,2015,94.42,44.51,64.63,62.06,100.83
4,28,2015,68.58,71.95,42.95,45.25,108.99
4,29,2015,139.65,48.42,52.83,58.61,98.67
4,30,2015,125.06,70.2,49.9,52.29,92.54
5,1,2015,117.94,45.28,17.03,47.56,26.4
5,2,2015,49.27,47.96,16.39,66.4,45.89
5,3,2015,53.14,58.85,26.54,40.51,52.88
5,4,2015,28.3,71.49,29.89,16.97,24.36
5,5,2015,50.52,22.1,22.54,58.96,56.9
5,6,2015,28.51,39.25,22.38,36.9,79.68
5,7,2015,53.44,53.62,22.93,46.25,92.65
5,8,2015,60.51,28.49,19.26,26.28,30.64
5,9,2015,37.64,23.89,20.75,27.61,57.08
5,10,2015,40.61,38.11,32.22,45.18,67.71
5,11,2015,27.26,30.1,24.4,45.88,48.29
5,12,2015,29.51,42.1,19.58,19.89,53.54
5,13,2015,88.76,45.07,41.06,60.36,69.05
5,14,2015,25.25,50.74,22.18,33.56,86.17
5,15,2015,33.34,44.85,16.33,25.78,65.19
5,16,2015,59.5,41.12,23.32,43.99,37.81
5,17,2015,145.44,36.42,31.93,64.42,57.42
5,18,2015,68.27,56.11,22.56,38.36,65.46
5,19,2015,17.24,81.26,26.25,23.63,65.22
5,20,2015,22.7,46.28,23.4,20.12,68.36
5,21,2015,35.5,20.1,27.07,50.65,30.74
5,22,2015,57.75,29.21,46.97,52.65,19.39
5,23,2015,100.88,36.56,41.54,47.15,30.69
5,24,2015,116.59,35.96,67.67,53.31,37.58
5,25,2015,97.81,31.83,93.17,61.39,48.07
5,26,2015,86.79,29.01,36.53,66.06,76.97
5,27,2015,86.53,42.26,31.64,90.96,89.49
5,28,2015,102.58,35.65,24.2,23.61,67.86
5,29,2015,60.06,31.6,25.22,49.54,16.94
5,30,2015,64.59,40.22,25.05,25.12,30.4
5,31,2015,56.0,55.43,36.15,47.26,37.06
6,1,2015,105.12,54.71,29.17,47.36,50.64
6,2,2015,30.73,42.25,17.42,23.56,51.5
6,3,2015,31.81,20.28,17.02,28.85,24.76
6,4,2015,48.07,28.01,18.47,41.88,23.44
6,5,2015,51.41,69.71,21.65,32.51,18.24
6,6,2015,23.83,65.96,42.01,39.14,35.1
6,7,2015,14.11,30.35,16.55,40.61,55.69
6,8,2015,20.06,21.18,16.23,28.04,42.36
6,9,2015,56.46,57.32,17.36,40.03,38.56
6,10,2015,78.81,38.37,21.51,39.67,72.87
6,11,2015,21.69,56.61,18.99,16.46,46.46
6,12,2015,7.33,63.58,30.2,32.99,34.28
6,13,2015,13.54,61.35,28.67,47.82,29.28
6,14,2015,22.15,42.94,16.53,50.12,43.08
6,15,2015,93.4,49.02,15.35,54.45,53.28
6,16,2015,109.55,30.21,21.03,54.99,96.76
6,17,2015,39.57,24.96,17.14,45.12,56.93
6,18,2015,19.68,21.26,18.22,32.1,44.47
6,19,2015,21.57,47.1,15.38,26.31,55.11
6,20,2015,23.0,39.82,15.57,33.72,30.94
6,21,2015,45.09,46.76,14.89,58.13,44.86
6,22,2015,91.97,28.38,12.22,46.32,62.61
6,23,2015,183.75,56.85,11.93,33.74,22.14
6,24,2015,100.56,62.09,15.85,32.57,16.47
6,25,2015,110.46,52.57,22.75,40.82,37.03
6,26,2015,97.23,39.12,22.49,73.0,53.53
6,27,2015,88.83,14.33,17.99,66.24,48.23
6,28,2015,144.92,12.62,18.92,50.33,39.71
6,29,2015,101.71,40.54,20.14,25.03,29.84
6,30,2015,13.55,65.51,24.54,32.75,38.48
7,1,2015,17.76,42.89,21.65,14.5,31.96
7,2,2015,9.07,64.47,22.29,19.08,48.13
7,3,2015,23.39,76.73,25.38,30.64,20.22
7,4,2015,27.42,52.11,23.83,45.49,33.07
7,5,2015,51.17,23.33,29.68,30.4,34.32
7,6,2015,57.52,19.43,19.44,40.85,31.82
7,7,2015,62.5,18.74,19.92,49.26,38.65
7,8,2015,121.45,26.57,22.44,44.56,61.39
7,9,2015,70.79,27.03,20.74,49.03,55.46
7,10,2015,49.19,20.1,16.29,22.46,52.45
7,11,2015,100.6,5.45,34.04,32.38,46.78
7,12,2015,104.49,19.95,41.69,65.61,62.78
7,13,2015,42.17,74.99,71.36,26.02,61.99
7,14,2015,29.41,74.25,32.03,43.3,64.17
7,15,2015,34.18,29.64,24.4,17.22,39.75
7,16,2015,38.46,27.53,33.66,18.03,59.07
7,17,2015,39.8,29.65,43.64,23.22,44.33
7,18,2015,45.71,23.26,33.93,59.61,55.35
7,19,2015,74.79,19.0,34.74,27.77,46.53
7,20,2015,89.78,22.56,29.04,34.21,65.47
7,21,2015,120.32,40.27,16.35,37.15,52.86
7,22,2015,57.03,34.96,22.39,50.48,33.63
7,23,2015,46.56,37.99,18.64,44.78,21.31
7,24,2015,53.25,36.2,14.68,49.0,23.07
7,25,2015,92.72,53.33,19.43,42.61,22.79
7,26,2015,114.52,75.53,17.64,64.76,31.4
7,27,2015,61.01,48.78,17.78,87.5,35.42
7,28,2015,53.55,47.74,15.69,54.55,39.89
7,29,2015,95.72,46.11,16.62,52.51,64.49
7,30,2015,41.28,34.14,18.45,50.59,46.49
7,31,2015,24.03,40.1,15.15,52.7,45.85
8,1,2015,74.89,55.25,16.98,50.06,34.94
8,2,2015,70.67,45.26,12.42,44.23,30.62
8,3,2015,64.09,40.21,25.83,57.47,36.65
8,4,2015,20.57,41.14,28.89,43.76,21.78
8,5,2015,78.51,35.57,44.29,42.71,23.69
8,6,2015,59.12,21.08,39.74,38.49,48.76
8,7,2015,89.39,15.86,43.87,41.96,46.82
8,8,2015,45.26,10.15,39.2,44.76,23.21
8,9,2015,56.55,9.1,34.85,56.29,23.94
8,10,2015,47.18,15.89,31.56,46.52,32.46
8,11,2015,95.12,16.71,39.21,47.0,47.33
8,12,2015,85.94,28.54,33.78,44.98,55.22
8,13,2015,117.79,44.48,21.05,55.24,83.1
8,14,2015,57.41,35.68,23.79,67.8,49.93
8,15,2015,22.03,23.42,28.38,76.37,32.76
8,16,2015,41.69,31.17,38.86,72.08,39.47
8,17,2015,77.62,40.3,25.53,65.35,11.68
8,18,2015,43.27,42.96,23.63,69.94,29.75
8,19,2015,54.38,23.9,27.32,57.07,22.75
8,20,2015,36.49,40.81,41.68,33.67,33.88
8,21,2015,22.32,21.69,30.46,26.39,61.32
8,22,2015,23.26,13.73,34.08,24.49,86.61
8,23,2015,22.17,17.17,39.13,29.56,82.72
8,24,2015,16.4,22.48,43.47,26.6,59.92
8,25,2015,15.17,37.9,41.08,21.9,47.45
8,26,2015,10.6,63.96,56.67,12.48,46.64
8,27,2015,11.45,97.94,46.01,17.33,54.97
8,28,2015,14.37,96.39,38.79,19.76,56.72
8,29,2015,26.2,73.21,43.76,15.65,47.75
8,30,2015,29.37,60.97,27.6,27.47,76.14
8,31,2015,31.72,41.99,29.54,39.83,88.81
9,1,2015,17.55,46.56,29.65,32.49,81.12
9,2,2015,15.1,70.65,19.37,35.39,59.1
9,3,2015,19.55,76.38,31.5,32.14,35.47
9,4,2015,44.69,67.95,28.67,16.42,31.83
9,5,2015,20.16,41.15,24.04,11.18,39.93
9,6,2015,17.93,34.86,24.15,16.71,25.28
9,7,2015,24.67,17.86,27.92,44.9,35.17
9,8,2015,47.98,13.85,41.7,49.47,26.85
9,9,2015,30.16,12.82,59.93,34.56,13.21
9,10,2015,8.49,18.93,54.96,11.29,11.0
9,11,2015,7.77,26.03,52.65,17.41,23.96
9,12,2015,7.36,48.1,51.25,13.96,39.99
9,13,2015,19.14,30.57,54.63,25.21,32.31
9,14,2015,72.4,16.61,42.21,32.9,47.56
9,15,2015,103.19,25.37,35.7,49.49,100.36
9,16,2015,119.12,21.04,42.76,57.49,37.49
9,17,2015,124.59,27.16,47.29,61.6,28.61
9,18,2015,68.54,31.93,51.12,81.78,29.35
9,19,2015,22.55,19.17,44.06,27.62,41.42
9,20,2015,87.05,36.58,26.17,33.59,51.11
9,21,2015,93.68,33.01,27.37,37.03,44.47
9,22,2015,130.54,31.39,39.99,22.51,41.1
9,23,2015,64.24,31.93,32.96,36.19,50.97
9,24,2015,121.18,23.75,28.36,41.08,22.03
9,25,2015,26.05,28.99,39.4,70.75,28.31
9,26,2015,31.9,32.17,35.24,66.92,39.28
9,27,2015,50.77,27.5,30.6,33.03,28.37
9,28,2015,49.43,24.05,44.18,34.38,32.29
9,29,2015,48.34,8.65,47.38,64.17,41.08
9,30,2015,35.42,16.93,60.97,81.71,62.01
10,1,2015,23.85,34.99,56.82,18.94,23.67
10,2,2015,35.04,33.17,31.1,16.11,53.17
10,3,2015,34.45,36.96,28.99,23.08,62.11
10,4,2015,111.91,25.46,12.52,72.55,18.46
10,5,2015,203.66,24.12,16.13,79.14,45.85
10,6,2015,272.61,16.94,34.83,101.01,100.42
10,7,2015,246.03,15.86,23.15,65.26,101.65
10,8,2015,8.76,15.81,29.71,14.09,108.01
10,9,2015,15.51,73.9,26.1,25.44,38.58
10,10,2015,5.4,54.49,19.76,21.58,48.35
10,11,2015,7.59,51.08,14.72,18.4,60.89
10,12,2015,14.54,88.52,41.28,40.82,79.37
10,13,2015,45.52,101.23,49.82,54.01,102.5
10,14,2015,119.27,91.44,99.01,118.65,108.11
10,15,2015,130.32,29.15,90.71,107.84,128.79
10,16,2015,211.84,40.53,67.92,115.41,121.38
10,17,2015,272.46,28.36,43.43,79.99,87.79
10,18,2015,69.47,39.43,49.72,31.79,58.11
10,19,2015,71.68,38.18,55.79,90.5,97.39
10,20,2015,76.61,34.71,47.51,63.41,87.85
10,21,2015,56.02,41.76,43.18,110.07,112.07
10,22,2015,40.38,76.94,44.37,130.28,62.85
10,23,2015,62.0,41.11,45.86,96.78,53.53
10,24,2015,58.52,42.99,53.94,66.12,59.96
10,25,2015,34.22,44.04,45.83,243.81,47.12
10,26,2015,33.9,45.78,43.04,155.47,32.75
10,27,2015,20.51,74.28,46.56,22.28,28.46
10,28,2015,13.17,63.78,66.19,26.28,45.86
10,29,2015,12.07,35.75,46.76,27.56,34.74
10,30,2015,25.45,29.71,49.12,29.74,30.53
10,31,2015,51.01,20.1,22.35,77.47,19.06
11,1,2015,85.0,40.46,10.01,100.54,35.54
11,2,2015,91.12,118.53,29.65,173.6,59.36
11,3,2015,151.0,89.21,40.58,158.61,78.44
11,4,2015,203.32,34.5,51.12,88.11,79.25
11,5,2015,96.81,41.24,60.74,85.21,70.22
11,6,2015,16.61,20.9,37.72,168.51,70.36
11,7,2015,19.41,48.08,43.75,347.0,20.15
11,8,2015,56.32,85.63,33.78,820.29,29.51
11,9,2015,127.78,87.91,28.61,326.65,87.68
11,10,2015,136.1,57.81,26.36,175.4,39.93
11,11,2015,127.81,34.05,54.51,125.73,25.93
11,12,2015,176.15,57.63,58.54,160.6,22.46
11,13,2015,208.42,48.53,16.49,135.51,35.0
11,14,2015,270.08,125.75,24.29,96.22,51.92
11,15,2015,216.14,109.17,41.35,102.89,33.97
11,16,2015,84.46,75.71,26.24,92.84,54.33
11,17,2015,66.45,30.22,28.75,99.56,51.08
11,18,2015,63.51,27.81,49.5,114.41,60.88
11,19,2015,79.94,32.21,63.12,92.06,71.69
11,20,2015,63.97,44.49,62.07,64.45,80.9
11,21,2015,43.58,29.04,53.75,91.9,68.67
11,22,2015,44.03,29.43,33.18,101.01,58.99
11,23,2015,24.59,33.04,25.71,48.61,51.21
11,24,2015,28.45,21.74,39.04,45.54,18.02
11,25,2015,38.49,35.09,22.74,61.38,33.33
11,26,2015,38.56,55.06,22.8,38.18,65.42
11,27,2015,226.59,44.71,31.22,86.83,50.57
11,28,2015,288.91,65.07,42.96,132.63,47.03
11,29,2015,288.55,79.43,58.65,148.36,62.11
11,30,2015,440.2,123.97,40.1,116.93,59.99
12,1,2015,478.77,55.72,55.61,86.94,78.54
12,2,2015,13.28,78.51,44.61,35.31,68.65
12,3,2015,16.84,53.57,15.92,35.72,55.1
12,4,2015,42.34,48.72,20.82,41.14,39.19
12,5,2015,62.14,66.38,22.93,33.97,46.62
12,6,2015,160.64,106.21,8.18,114.9,59.94
12,7,2015,184.36,87.72,16.57,174.93,92.12
12,8,2015,245.22,31.43,23.33,159.58,75.11
12,9,2015,244.04,38.2,18.36,79.54,78.4
12,10,2015,107.8,41.89,17.54,77.12,99.06
12,11,2015,60.34,80.68,21.47,88.56,83.13
12,12,2015,139.56,48.12,32.97,184.63,33.49
12,13,2015,156.84,63.83,40.98,208.55,37.14
12,14,2015,108.62,149.86,15.49,227.16,43.69
12,15,2015,6.14,225.19,27.96,49.6,36.59
12,16,2015,7.35,69.97,51.37,29.63,53.64
12,17,2015,55.2,45.03,20.51,44.37,83.93
12,18,2015,73.19,49.08,31.75,71.94,65.74
12,19,2015,144.31,34.67,48.18,130.01,70.75
12,20,2015,213.1,49.82,68.75,53.73,60.31
12,21,2015,227.48,139.01,80.94,175.14,82.45
12,22,2015,326.24,91.9,119.93,252.48,86.24
12,23,2015,258.81,194.4,115.7,156.42,90.99
12,24,2015,111.59,59.12,42.15,44.72,90.25
12,25,2015,534.61,176.45,18.36,101.96,95.28
12,26,2015,252.11,97.08,23.76,47.9,115.0
12,27,2015,58.19,66.1,17.31,117.96,168.07
12,28,2015,115.31,37.58,26.74,138.29,168.72
12,29,2015,336.89,56.53,45.9,145.76,229.92
12,30,2015,95.83,94.28,40.61,178.06,265.36
12,31,2015,72.69,140.01,50.93,253.43,206.19
